symbol,catalog,level1_code,level1_name,level2_code,level2_name
000004,TDXRSHY,X42,计算机,X420201,基础软件
000099,TDXRSHY,X61,交通运输,X610201,航空运输
000423,TDXRSHY,X27,医药医疗,X2706,中药
000513,TDXRSHY,X27,医药医疗,X270101,化学制剂
000529,TDXRSHY,X43,传媒,X430601,教育出版
000552,TDXRSHY,X10,煤炭,X100101,动力煤
000576,TDXRSHY,X31,国防军工,X3101,地面兵装
000590,TDXRSHY,X27,医药医疗,X2706,中药
000596,TDXRSHY,X21,食品饮料,X210205,白酒
000622,TDXRSHY,X25,商贸,X2505,贸易
000650,TDXRSHY,X27,医药医疗,X2706,中药
000715,TDXRSHY,X25,商贸,X250102,百货
000799,TDXRSHY,X21,食品饮料,X210205,白酒
000813,TDXRSHY,X27,医药医疗,X270101,化学制剂
000819,TDXRSHY,X11,石油,X110303,其他石化
000848,TDXRSHY,X21,食品饮料,X210301,软饮料
000858,TDXRSHY,X21,食品饮料,X210205,白酒
000893,TDXRSHY,X12,化工,X120704,钾肥
000915,TDXRSHY,X27,医药医疗,X270101,化学制剂
000919,TDXRSHY,X27,医药医疗,X270101,化学制剂
000923,TDXRSHY,X13,钢铁,X130101,铁矿石
000985,TDXRSHY,X12,化工,X120501,合成树脂
001202,TDXRSHY,X61,交通运输,X610401,供应链服务
001209,TDXRSHY,X22,纺织服饰,X220204,非运动服装
001213,TDXRSHY,X61,交通运输,X610404,仓储物流
001216,TDXRSHY,X23,轻工制造,X230302,其他家居
001316,TDXRSHY,X25,商贸,X2504,专业连锁
001318,TDXRSHY,X21,食品饮料,X210302,乳制品
002017,TDXRSHY,X41,通信,X410104,通信终端及配件
002022,TDXRSHY,X27,医药医疗,X270204,诊断试剂
002027,TDXRSHY,X43,传媒,X430202,其他广告营销
002033,TDXRSHY,X60,社会服务,X600501,旅游景区
002038,TDXRSHY,X27,医药医疗,X270205,基因药物
002106,TDXRSHY,X40,电子,X400302,光学元件
002107,TDXRSHY,X27,医药医疗,X2706,中药
002152,TDXRSHY,X42,计算机,X420102,其他IT设备
002154,TDXRSHY,X22,纺织服饰,X220204,非运动服装
002177,TDXRSHY,X42,计算机,X420102,其他IT设备
002191,TDXRSHY,X23,轻工制造,X230204,纸包装
002194,TDXRSHY,X41,通信,X410102,网络接配及塔设
002198,TDXRSHY,X27,医药医疗,X2706,中药
002222,TDXRSHY,X40,电子,X400302,光学元件
002224,TDXRSHY,X12,化工,X120603,橡胶制品
002229,TDXRSHY,X23,轻工制造,X230201,印刷
002252,TDXRSHY,X27,医药医疗,X270201,血液制品
002260,TDXRSHY,X24,家电,X240301,厨房小家电
002262,TDXRSHY,X27,医药医疗,X270101,化学制剂
